Brand,SubBrand,Arcsoft SDK,Face++ SDK,SenseTime SDK,Biometric SensorTech SDK,System Face App
asus,asus_z01r_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asusai2501,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,i001_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,i01wd,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,kona,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,msm8953_64,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,p00c_2,,,,,
asus,qssi,,,,,
asus,ww_i005d,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,ww_i007d,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,ww_i01wd,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,ww_x00pd,,system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,ww_x00rd,,system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,x00hd_4,,,,,
asus,x00qd,,system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,x00td,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,x017d_2,,system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,x01a_1,,system/lib/libMegviiUnlock.so; system/lib64/libMegviiUnlock.so,,,system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,x01bd,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,z010,,,,,
asus,z01kd_1,,,,,
asus,z01qd_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,z01r_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,za550kl,,system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,zb555kl,,system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
att,ea211005,,,,,
att,u202aa,,,,,
att,u304aa,,,,,
att,u318aa,,,,,
att,u325ac,,,,,
att,u705aa,,,,,
blackberry,unknown,,,,,system/app/FaceLock/FaceLock.apk
blackshark,darklighter,,,system/system/lib64/libstfaceunlockocl.so,,
blackshark,katyusha,,system/system/lib64/libMegviiUnlock.so,,,
blackshark,klein,,,system/system/app/MiuiBiometric/lib/arm64/libstfaceunlockocl.so; system/system/lib64/libstfaceunlockocl.so,,
blackshark,missi,,system/system/app/MiuiBiometric/lib/arm64/libMegviiUnlock.so; system/system/lib64/libMegviiUnlock.so,,,
blackshark,mobius,,,system/system/app/MiuiBiometric/lib/arm64/libstfaceunlockocl.so; system/system/lib64/libstfaceunlockocl.so,,
blackshark,penrose,,system/system/app/MiuiBiometric/lib/arm64/libMegviiUnlock.so; system/system/lib64/libMegviiUnlock.so,,,
blackshark,qssi,,,system/system/app/MiuiBiometric/lib/arm64/libstfaceunlockocl.so; system/system/lib64/libstfaceunlockocl.so,,
blackshark,shark,,,system/system/lib64/libstfaceunlockocl.so,,
blackshark,skywalker,,,system/system/lib64/libstfaceunlockocl.so,,
blackview,a200pro,,,,,system/system/priv-app/AW_FaceIdService/AW_FaceIdService.apk
blackview,a80pro,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
blackview,blackview,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
blackview,bv8900,,,vendor/lib64/libstfaceunlock.so; vendor/lib/libstfaceunlock.so,,
blackview,bv9200,,,vendor/lib64/libstfaceunlock.so; vendor/lib/libstfaceunlock.so,,
blackview,bv9600,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
blackview,bv9900,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
blackview,bv9900pro,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
blackview,tab_15_neu,,,,,
blocks,sombrero,,,,,
blu,advance_4_0_l3,,,,,
blu,c090p,,,,,
blu,g0090,,,,,
blu,g0170,,,,,
blu,g0190,,,,,
blu,g0230ww,,,system/system/lib/libstfaceunlock.so; system/system/lib64/libstfaceunlock.so,,system/system/app/TFaceServiceApp/TFaceServiceApp.apk; system/system/priv-app/FaceUnlock/FaceUnlock.apk
blu,g0310ww,,,system/system/lib64/libstfaceunlock.so; system/system/lib/libstfaceunlock.so,,system/system/app/TFaceServiceApp/TFaceServiceApp.apk; system/system/priv-app/FaceUnlock/FaceUnlock.apk
blu,m030p,,,,,
blu,n0030ww,,,,,
blu,n0050uu,,,system/system/lib64/libstfaceunlock.so; system/system/lib/libstfaceunlock.so,,system/system/app/TFaceServiceApp/TFaceServiceApp.apk; system/system/priv-app/FaceUnlock/FaceUnlock.apk
blu,v0310ww,,,,,system/system/priv-app/Cyee_FaceLock/Cyee_FaceLock.apk
blu,v0350ww,,vendor/lib/libMegviiUnlock.so,,,system/priv-app/Cyee_FaceLock/Cyee_FaceLock.apk
bodun,turing,,,,,
bpi,m5_mbox,,,,,
bpi,m5_tablet,,,,,
bq,bardock,,,,,system/app/FaceLock/FaceLock.apk
bq,bardock-pro,,,,,system/app/FaceLock/FaceLock.apk
bq,jeice,,,,,system/app/FaceLock/FaceLock.apk
bq,nappa_s,,,,,system/app/FaceLock/FaceLock.apk
bq,raditz,,,,,system/app/FaceLock/FaceLock.apk
bq,raditz_s,,,,,system/app/FaceLock/FaceLock.apk
bq,yamcha,,,,,system/app/FaceLock/FaceLock.apk
bq,zangya_sprout,,,,,
bq,zangyapro_sprout,,,,,
bqru,bqru-5730l,,,,,system/system/app/FaceLock/FaceLock.apk
braun,yk919_lwctg61_32,,,,,
bravis,n1_550_cruiser,,,,,
camfone,hero_12,,,,,system/app/FaceLockSetting/FaceLockSetting.apk
camfone,hero_13,,,system/app/TFaceServiceApp/lib/arm/libstfaceunlock.so,,system/app/TFaceServiceApp/TFaceServiceApp.apk
camfone,hero_h5_plus,,,,,
camfone,hero_h9,,,,,system/app/FaceLock/FaceLock.apk
camfone,hero_se2,,,system/app/TFaceServiceApp/lib/arm/libstfaceunlock.so,,system/app/TFaceServiceApp/TFaceServiceApp.apk
camfone,hero_se3_max,,,system/lib/libstfaceunlock.so,,system/app/PrizeFaceUnlock/PrizeFaceUnlock.apk
casio,ayu,,,,,
cat,cats60,,,,,system/app/FaceLock/FaceLock.apk
cat,cats61,,,,,system/system/app/FaceLock/FaceLock.apk
cat,s22flip,,,,,
cat,s62,,,,,
cat,s62pro,,,,,
chuwi,hi9pro,,,,,
claro,l530,,,,,
clearcellular,clearphone_220,,,system/system/lib64/libstfaceunlock.so; system/system/lib/libstfaceunlock.so,,system/system/app/TFaceServiceApp/TFaceServiceApp.apk; system/system/priv-app/FaceUnlock/FaceUnlock.apk
clearcellular,clearphone_420,,,system/system/lib64/libstfaceunlock.so; system/system/lib/libstfaceunlock.so,,system/system/app/TFaceServiceApp/TFaceServiceApp.apk; system/system/priv-app/FaceUnlock/FaceUnlock.apk
clearcellular,clearphone_620,,,system/system/lib64/libstfaceunlock.so; system/system/lib/libstfaceunlock.so,,system/system/app/TFaceServiceApp/TFaceServiceApp.apk; system/system/priv-app/FaceUnlock/FaceUnlock.apk
colorfly,shift7,,,,,
condor,allure_m3,,,,,system/priv-app/Cyee_FaceLock/Cyee_FaceLock.apk
condor,allure_m3_lite,,,,,system/app/FaceLock/FaceLock.apk
condor,griffe_t5,,,,,
condor,griffe_t6,,,,,
condor,griffe_t7,,,,,
condor,griffe_t8,,,,,
condor,griffe_t9,,,,,system/system/app/FaceLock/FaceLock.apk
condor,griffe_t9_plus,,,,,system/system/app/FaceLock/FaceLock.apk
condor,plume_l1_plus,,,,,
condor,plume_l3,,,,,system/app/FaceLock/FaceLock.apk
coolpad,c558,,,,,
coolpad,coolpad,,,,,
coolpad,coolpad_1803,,,,,system/priv-app/CP_FaceID/CP_FaceID.apk
coolpad,le_ares,,,,,
coolpad,n3_mini,,,,,
coolpad,roadie,,,,,
creator,b01,,,,,
cricket,u304ac,,,,,
cricket,u325ac,,,,,
cricket,u705ac,,,,,
ctyon,ct06,,,,,
cubot,cubot_j3,,,,,system/priv-app/FaceUnlock/FaceUnlock.apk
cubot,kingkong_8,,,,,
cubot,kingkong_mini,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
cubot,p60,,,vendor/lib64/libstfaceunlock.so; vendor/lib/libstfaceunlock.so,,
cubot,p80,,,,,
